"RT- 472178 - University of Washington, Seattle",,,,,,,,,,,,,,,,,,,
Report Date 2022-02-14,,,,,,,,,,,,,,,,,,,
"Data refreshed nightly, Monday - Saturday. Last refresh at 2022-02-14 01:45 AM",,,,,,,,,,,,,,,,,,,
Year/Quarter: Autumn 2014 - Autumn 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Academic_Year,Term,Course_Number,Course_Title,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA,
2016-17,20164 (Autumn 2016),ARCH 530 A,INTEGRATED SYSEMS,24,,21,2,1,,,,,,,,,,3.6,
2016-17,20164 (Autumn 2016),ARCH 532 A,CONST MAT & ASSM II,45,4,27,12,2,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ARCH 571 A,PRO PRACTICE,27,3,19,4,1,,,,,,,,,,3.6,
2016-17,20164 (Autumn 2016),ARCH 590 A,URB & PRESV ISSUES,41,,15,17,7,2,,,,,,,,,3.3,
2016-17,20164 (Autumn 2016),ARCHY 105 A,HUMAN PAST,95,17,14,6,9,17,8,9,2,,5,1,5,2,2.7,
2016-17,20164 (Autumn 2016),ART 140 A,BASIC PHOTO,19,1,14,2,2,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ART 190 A,INTRO TO DRAWING,22,7,12,3,,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ART 190 B,INTRO TO DRAWING,23,9,10,2,,,,,1,,,,1,,3.5,
2016-17,20164 (Autumn 2016),ART 190 C,INTRO TO DRAWING,22,8,5,5,3,,,1,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ART 190 D,INTRO TO DRAWING,22,6,15,1,,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ART 233 A,INTRO 3D4M GLASS,16,2,13,,1,,,,,,,,,,3.6,
2016-17,20164 (Autumn 2016),ART 240 A,INT PHOTOMEDIA I,20,1,14,3,2,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),ART 246 A,WORKS ON PAPER,16,11,1,,,,,,,,,,3,1,3.1,
2016-17,20164 (Autumn 2016),ART 253 A,INTRO TO CERAMICS,17,7,9,1,,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ART 260 A,INTRO TO ART PRACT,58,10,21,10,5,2,2,3,1,1,1,,2,,3.1,
2016-17,20164 (Autumn 2016),ART 272 A,INTRO 3D4M SCULPT,16,4,8,2,,,,1,,,1,,,,3.4,
2016-17,20164 (Autumn 2016),ART 272 B,INTRO 3D4M SCULPT,18,10,8,,,,,,,,,,,,3.8,
2016-17,20164 (Autumn 2016),ART 290 A,BEG DRAWING FIGURE,20,13,2,3,,,,,,,,,1,1,3.6,
2016-17,20164 (Autumn 2016),ART 290 B,BEG DRAWING FIGURE,20,7,11,1,,,,,,,,,1,,3.5,
2016-17,20164 (Autumn 2016),ART 292 A,BEGINNING PAINTING,18,11,4,,,,,,1,,,,2,,3.3,
2016-17,20164 (Autumn 2016),ART 339 A,PHOTOGRAPHY,19,1,15,2,,,,,,,,,,1,3.6,
2016-17,20164 (Autumn 2016),ART 340 A,ADVANCED PHOTOMEDIA,20,,11,5,4,,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),ART 350 A,PRINTMKG SPEC PROJ,18,6,4,1,4,2,,,,,1,,,,3.3,
2016-17,20164 (Autumn 2016),ART 360 A,TOPICS STUDIO ART,19,2,8,3,1,2,1,,,1,,,,1,3.3,
2016-17,20164 (Autumn 2016),ART 390 A,INTERMED DRAWING,17,3,14,,,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ART 400 A,IVA SENIOR STUDIO,16,11,3,2,,,,,,,,,,,3.8,
2016-17,20164 (Autumn 2016),ART 490 A,ADV DRAWING,19,8,8,,,,,,,,,,2,1,3.4,
2016-17,20164 (Autumn 2016),ART 494 A,SR SEM PAINT-DRAW,15,7,8,,,,,,,,,,,,3.8,
2016-17,20164 (Autumn 2016),ART H 201 A,SURV WEST ART-ANC,63,33,13,5,2,1,2,2,2,,,,2,1,3.4,
2016-17,20164 (Autumn 2016),ART H 209 A,ART H THEMES/TOPICS,116,16,51,21,10,3,1,,2,,1,3,3,5,3.2,
